Rowid	Analysis Plan Sort	Analysis Plan Id	Description	NAME1	STAT1	NAME2	STAT2	NAME3	STAT3	NAME4	STAT4	NAME5	STAT5	NAME6	STAT6	NAME7	STAT7	NAME8	STAT8	NAME9	STAT9	NAME10	STAT10
45727	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/DR+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/DR+:Count																		
45728	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/EM:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/EM:Count																		
45729	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/IFNg+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/IFNg+:Count																		
45730	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/IFNg_OR_IL2:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/IFNg_OR_IL2:Count																		
45733	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/IFNg_OR_IL2_OR_154:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/IFNg_OR_IL2_OR_154:Count																		
45731	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/IFNg_OR_IL2_OR_TNF:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/IFNg_OR_IL2_OR_TNF:Count																		
45732	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/IFNg_OR_IL2_OR_TNF_OR_154:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/IFNg_OR_IL2_OR_TNF_OR_154:Count																		
45736	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/IL17a_OR_IL17F+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/IL17a_OR_IL17F+:Count																		
45734	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/IL2+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/IL2+:Count																		
45735	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/IL4_OR_IL13+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/IL4_OR_IL13+:Count																		
45737	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/Ki67+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/Ki67+:Count																		
45738	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/N:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/N:Count																		
45739	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/NKG2C+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/NKG2C+:Count																		
45740	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/Perf+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/Perf+:Count																		
45742	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/R7+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/R7+:Count																		
45741	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/RA+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/RA+:Count																		
45743	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/TEMRA:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/TEMRA:Count																		
45744	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/TNF+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/Va24+/TNF+:Count																		
45746	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3-/56-16+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3-/56-16+:Count																		
45748	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3-/56br:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3-/56br:Count																		
45749	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3-/56dim16+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3-/56dim16+:Count																		
45747	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3-/56dim16-:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3-/56dim16-:Count																		
45466	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+:Count																		
45745	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3-:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3-:Count																		
45757	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3-/Total NK/103+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3-/Total NK/103+:Count																		
45758	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3-/Total NK/153+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3-/Total NK/153+:Count																		
45759	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3-/Total NK/154+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3-/Total NK/154+:Count																		
45751	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3-/Total NK/3-NKG2C+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3-/Total NK/3-NKG2C+:Count																		
45752	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3-/Total NK/3-Perf+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3-/Total NK/3-Perf+:Count																		
45754	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3-/Total NK/4-8-:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3-/Total NK/4-8-:Count																		
45753	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3-/Total NK/4+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3-/Total NK/4+:Count																		
45756	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3-/Total NK/69+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3-/Total NK/69+:Count																		
45755	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3-/Total NK/8+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3-/Total NK/8+:Count																		
45760	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3-/Total NK/CCR6+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3-/Total NK/CCR6+:Count																		
45761	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3-/Total NK/CCR6+CXCR3+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3-/Total NK/CCR6+CXCR3+:Count																		
