Analysis Plan Sort	Analysis Plan Id	Description	NAME1	STAT1
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/PE+AF647+/IgD-/IgM+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/PE+AF647+/IgD-/IgM+:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/PE+AF647+/IgD+/IgMnaive:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/PE+AF647+/IgD+/IgMnaive:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD27+ CD38+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD27+ CD38+:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD27+ CD38+/PE+AF647+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD27+ CD38+/PE+AF647+:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/Ki-67+ CD20+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/Ki-67+ CD20+:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/Ki-67+ CD20-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/Ki-67+ CD20-:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/Ki-67- CD20+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/Ki-67- CD20+:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/Ki-67- CD20-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/Ki-67- CD20-:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/Ki-67+ CD27+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/Ki-67+ CD27+:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/Ki-67+ CD27-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/Ki-67+ CD27-:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/Ki-67- CD27+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/Ki-67- CD27+:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/Ki-67- CD27-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/Ki-67- CD27-:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L:Count
